Date,TVL,,,
04/03/2024,430324448.6568762,,,
05/03/2024,431570332.02340835,,,
06/03/2024,444057751.8237856,,,
07/03/2024,492304433.0913931,,,
08/03/2024,521287100.7616961,,,
09/03/2024,568223406.3017174,,,
10/03/2024,584606821.4349993,,,
11/03/2024,586545254.8393805,,,
12/03/2024,620064716.7461946,,,
13/03/2024,619433947.0490999,,,
14/03/2024,634798186.6131294,,,
15/03/2024,634210419.0483539,,,
16/03/2024,610047340.6079819,,,
17/03/2024,586332496.1250739,,,
18/03/2024,610613644.9706724,,,
19/03/2024,621679746.3388592,,,
20/03/2024,575034195.8639483,,,
21/03/2024,656702625.1830407,,,
22/03/2024,690872947.8287413,,,
23/03/2024,666131063.1532547,,,
24/03/2024,691677179.0696591,,,
25/03/2024,739250870.1435965,,,
26/03/2024,782491484.1729677,,,
27/03/2024,814169619.0512218,,,
28/03/2024,828613727.7939467,,,
29/03/2024,899070401.4363515,,,
30/03/2024,979747803.7161314,,,
31/03/2024,1043133216.0565305,,,
01/04/2024,1119305515.2402203,,,
02/04/2024,1119101431.141307,,,
03/04/2024,1076963168.75263,,,
04/04/2024,1215605142.8599005,,,
05/04/2024,1263432204.7132015,,,
06/04/2024,1377383155.65654,,,
07/04/2024,1465350235.70363,,,
08/04/2024,1569111565.0332854,,,
09/04/2024,1769177873.0997868,,,
10/04/2024,1774587697.1828475,,,
11/04/2024,1849124484.7244315,,,
12/04/2024,1876293364.0709906,,,
13/04/2024,1746535613.0497386,,,
14/04/2024,1602493934.9320552,,,
15/04/2024,1696982451.1971414,,,
16/04/2024,1694710781.6862528,,,
17/04/2024,1721169767.1312406,,,
18/04/2024,1718157666.2227044,,,
19/04/2024,1780668849.7708073,,,
20/04/2024,1827553774.2737966,,,
21/04/2024,1856119152.9880393,,,
22/04/2024,1909542977.8196168,,,
23/04/2024,2021459937.8350995,,,
24/04/2024,2044301225.276543,,,
25/04/2024,2061114167.8258874,,,
26/04/2024,2410055367.334785,,,
27/04/2024,2613658483.381197,,,
28/04/2024,2720847742.1546645,,,
29/04/2024,2818887624.762978,,,
30/04/2024,2744382649.8323703,,,
01/05/2024,2600181124.686493,,,
02/05/2024,2611435495.961744,,,
03/05/2024,2916654103.890868,,,
04/05/2024,3084331936.4174557,,,
05/05/2024,3090839050.461645,,,
06/05/2024,3100624260.9625473,,,
07/05/2024,3253372312.949461,,,
08/05/2024,3143090819.8578734,,,
09/05/2024,3117760284.3574014,,,
10/05/2024,3158890033.318207,,,
11/05/2024,3059492384.760222,,,
12/05/2024,3010176671.8522677,,,
13/05/2024,2986810832.7119994,,,
14/05/2024,2971938436.9402328,,,
15/05/2024,2926308611.504813,,,
16/05/2024,3048510851.052729,,,
17/05/2024,2967373032.0965357,,,
18/05/2024,3084615711.6711025,,,
19/05/2024,3119131138.5733333,,,
20/05/2024,3084255159.512575,,,
21/05/2024,3617249597.9827743,,,
22/05/2024,3684025581.3406057,,,
23/05/2024,3642341589.8815937,,,
24/05/2024,3632579255.1362977,,,
25/05/2024,3548525573.312558,,,
26/05/2024,3544692862.2140613,,,
27/05/2024,3651736660.455415,,,
28/05/2024,3705959193.180352,,,
29/05/2024,3682068003.2447844,,,
30/05/2024,3602220144.745012,,,
31/05/2024,3564701490.8424654,,,
01/06/2024,3583037741.892392,,,
02/06/2024,3599492244.200581,,,
03/06/2024,3568473156.564142,,,
04/06/2024,3561449719.1838174,,,
05/06/2024,3592095868.7081513,,,
06/06/2024,3607439014.595386,,,
07/06/2024,3569783466.18988,,,
08/06/2024,3445008699.08699,,,
09/06/2024,3435391081.1513133,,,
10/06/2024,3472916521.0830607,,,
11/06/2024,3434131242.8896265,,,
12/06/2024,3285799081.7518954,,,
13/06/2024,3384897046.507944,,,
14/06/2024,3329218097.432879,,,
15/06/2024,3331333060.485777,,,
16/06/2024,3391498759.5310097,,,
17/06/2024,3440943556.539307,,,
18/06/2024,3379079810.8987865,,,
19/06/2024,3322293526.575663,,,
20/06/2024,3387335283.1419005,,,
21/06/2024,3338436706.7808323,,,
22/06/2024,3315394282.2845306,,,
23/06/2024,3277181031.651618,,,
24/06/2024,3202586479.8996654,,,
25/06/2024,3059466762.563976,,,
26/06/2024,3092835362.6323686,,,
