Date,TVL,,,
19/12/2023,2574675.775236689,,,
20/12/2023,2973179.820683614,,,
21/12/2023,3216457.593264183,,,
22/12/2023,3560285.883113498,,,
23/12/2023,3809761.2009047964,,,
24/12/2023,3966386.819143323,,,
25/12/2023,4711421.775825044,,,
26/12/2023,7012238.712994089,,,
27/12/2023,7446262.931304564,,,
28/12/2023,8331725.393056923,,,
29/12/2023,9812360.321938451,,,
30/12/2023,9801613.420524118,,,
31/12/2023,9881856.445609517,,,
01/01/2024,9871741.393235825,,,
02/01/2024,10544755.713241573,,,
03/01/2024,12298361.47423159,,,
04/01/2024,11686075.955403747,,,
05/01/2024,15275418.37589126,,,
06/01/2024,17729928.70510151,,,
07/01/2024,18723364.12517586,,,
08/01/2024,19098606.802431498,,,
09/01/2024,22373685.421915192,,,
10/01/2024,24157310.898035757,,,
11/01/2024,28303341.72193068,,,
12/01/2024,30979107.922686715,,,
13/01/2024,31816469.30133848,,,
14/01/2024,33244601.90747634,,,
15/01/2024,34270919.04971628,,,
16/01/2024,37154380.938544415,,,
17/01/2024,77303431.4371676,,,
18/01/2024,85507432.18771328,,,
19/01/2024,96073686.5445446,,,
20/01/2024,101432719.01702435,,,
21/01/2024,103962302.74914764,,,
22/01/2024,125400400.39550118,,,
23/01/2024,120220477.69414814,,,
24/01/2024,118414589.6760655,,,
25/01/2024,121487881.2916104,,,
26/01/2024,123948564.57203598,,,
27/01/2024,135913677.6351554,,,
28/01/2024,139179430.16176122,,,
29/01/2024,145180043.12597287,,,
30/01/2024,153892886.81559324,,,
31/01/2024,159947285.32193357,,,
01/02/2024,164432157.11849368,,,
02/02/2024,169861038.39098266,,,
03/02/2024,176257084.57707837,,,
04/02/2024,178726989.9422421,,,
05/02/2024,184764116.14110935,,,
06/02/2024,201841088.48585707,,,
07/02/2024,220020001.36083397,,,
08/02/2024,241584736.14475358,,,
09/02/2024,249831681.9803881,,,
10/02/2024,260633548.26076436,,,
11/02/2024,263543812.0762954,,,
12/02/2024,268479397.4277187,,,
13/02/2024,291541925.65198666,,,
14/02/2024,294995637.46419674,,,
15/02/2024,319481154.82970953,,,
16/02/2024,324175953.02644,,,
17/02/2024,323406544.4301979,,,
18/02/2024,322481859.055221,,,
19/02/2024,339053352.12308896,,,
20/02/2024,357524726.08851576,,,
21/02/2024,370724629.55244523,,,
22/02/2024,367168117.91719514,,,
23/02/2024,392172801.88806206,,,
24/02/2024,419321966.05028343,,,
25/02/2024,452939081.48255086,,,
26/02/2024,498662185.07680416,,,
27/02/2024,557775588.6127287,,,
28/02/2024,614247704.2359502,,,
29/02/2024,652700321.5043325,,,
01/03/2024,661631514.0408276,,,
02/03/2024,699505695.147314,,,
03/03/2024,713487736.3670164,,,
04/03/2024,737479120.0224351,,,
05/03/2024,782551869.5448519,,,
06/03/2024,774646773.1751631,,,
07/03/2024,860234509.4817582,,,
08/03/2024,869451593.3967255,,,
09/03/2024,897452647.1998094,,,
10/03/2024,914693932.4713616,,,
11/03/2024,914643884.7326624,,,
12/03/2024,968067175.5022818,,,
13/03/2024,957694672.4839019,,,
14/03/2024,983100919.0592091,,,
15/03/2024,1015744920.3245991,,,
16/03/2024,1000272696.5097599,,,
17/03/2024,960982604.3734931,,,
18/03/2024,1014161478.0070932,,,
19/03/2024,1040891903.5008298,,,
20/03/2024,1013293591.0456992,,,
21/03/2024,1210623371.2214098,,,
22/03/2024,1285821364.2302647,,,
23/03/2024,1277305900.4542167,,,
24/03/2024,1345778797.4976423,,,
25/03/2024,1426293866.0796208,,,
26/03/2024,1556715850.2220216,,,
27/03/2024,1721005887.7367744,,,
28/03/2024,1799298827.1363857,,,
29/03/2024,1898977538.4035926,,,
30/03/2024,1951524614.5331101,,,
31/03/2024,2082898533.0767593,,,
01/04/2024,2248689056.3490605,,,
02/04/2024,2234774106.717562,,,
03/04/2024,2202151026.3900814,,,
04/04/2024,2322515595.6709013,,,
05/04/2024,2387886311.258499,,,
06/04/2024,2461067230.2315755,,,
07/04/2024,2521002673.272601,,,
08/04/2024,2651882815.7365494,,,
09/04/2024,3001217640.5747724,,,
10/04/2024,2960539724.9508595,,,
11/04/2024,3053365987.80636,,,
12/04/2024,3149509833.0354905,,,
13/04/2024,2949420942.300403,,,
14/04/2024,2666003007.687735,,,
15/04/2024,2933980258.0770655,,,
16/04/2024,2969972216.8148584,,,
17/04/2024,3015964217.864448,,,
18/04/2024,2976018659.520497,,,
19/04/2024,3084541613.1316566,,,
20/04/2024,3130859906.128036,,,
21/04/2024,3220991337.357895,,,
22/04/2024,3245718537.5629096,,,
23/04/2024,3325599952.550166,,,
24/04/2024,3373798770.083569,,,
25/04/2024,3155839146.050899,,,
26/04/2024,3249132612.2667847,,,
27/04/2024,3238941110.9861884,,,
28/04/2024,3334054415.760746,,,
29/04/2024,3429486904.170657,,,
30/04/2024,3306710558.294213,,,
01/05/2024,3090091101.6196785,,,
02/05/2024,3046195747.474606,,,
03/05/2024,3098581068.579999,,,
04/05/2024,3222714415.19239,,,
05/05/2024,3216143751.514949,,,
06/05/2024,3237704761.217077,,,
07/05/2024,3201051087.7522244,,,
08/05/2024,3144652492.1796536,,,
09/05/2024,3068340628.475416,,,
10/05/2024,3118321741.1499667,,,
11/05/2024,3006754543.2445364,,,
12/05/2024,3011710541.1899033,,,
13/05/2024,3024398226.491983,,,
14/05/2024,3048140780.7796106,,,
